Date,Close/Last,Volume,Open,High,Low
02/27/2026,$135.11,6498546,$134.43,$136.97,$133.59
02/26/2026,$136.97,7279628,$132.195,$137.48,$132.195
02/25/2026,$132.02,7253347,$126.50,$132.15,$125.8232
02/24/2026,$125.66,4695980,$124.02,$127.70,$123.77
02/23/2026,$122.96,6016476,$127.09,$128.15,$119.94
02/20/2026,$127.89,6475512,$125.29,$128.00,$124.08
02/19/2026,$125.81,6228942,$123.84,$126.04,$122.67
02/18/2026,$124.27,4518888,$124.18,$126.02,$122.5001
02/17/2026,$124.23,6695428,$122.08,$127.65,$122.08
02/13/2026,$121.35,11008600,$126.465,$127.01,$119.66
02/12/2026,$115.96,10090660,$119.55,$121.48,$115.5301
02/11/2026,$119.55,5842371,$120.955,$122.35,$118.1301
02/10/2026,$120.32,5512685,$120.44,$121.88,$119.35
02/09/2026,$121.31,4915178,$121.81,$122.49,$120.25
02/06/2026,$122.18,5352847,$121.27,$122.84,$119.76
02/05/2026,$121.27,4057778,$124.24,$125.00,$120.79
02/04/2026,$124.61,5457057,$123.15,$125.51,$120.20
02/03/2026,$122.075,6834497,$130.24,$131.06,$120.10
02/02/2026,$131.31,3220623,$129.50,$132.48,$128.39
01/30/2026,$129.37,3505684,$130.97,$131.56,$129.06
01/29/2026,$131.77,4251647,$131.75,$132.58,$130.10
01/28/2026,$131.55,2264162,$132.54,$134.115,$131.51
01/27/2026,$132.22,2530618,$133.23,$133.49,$131.01
01/26/2026,$133.39,3649200,$132.49,$134.51,$131.18
01/23/2026,$132.15,4302887,$133.21,$134.82,$131.71
01/22/2026,$133.80,3577461,$134.32,$137.21,$133.51
01/21/2026,$133.59,4645938,$130.73,$134.97,$129.70
01/20/2026,$130.73,4500923,$127.83,$132.035,$127.83
01/16/2026,$130.66,5061957,$132.60,$132.76,$129.85
01/15/2026,$132.60,4662441,$134.54,$135.50,$131.93
01/14/2026,$132.79,7681559,$139.50,$139.65,$130.15
01/13/2026,$140.07,4109111,$138.14,$140.19,$136.50
01/12/2026,$138.51,3371083,$139.28,$140.24,$137.015
01/09/2026,$139.27,4578134,$140.005,$141.40,$137.91
01/08/2026,$138.66,3593052,$136.105,$138.78,$134.55
01/07/2026,$137.04,3585125,$137.65,$139.55,$136.83
01/06/2026,$138.02,3112977,$135.95,$138.38,$135.945
01/05/2026,$135.87,4336138,$133.10,$137.96,$132.635
01/02/2026,$133.01,3863838,$135.94,$136.11,$132.34
12/31/2025,$135.72,2188111,$136.62,$137.58,$135.565
12/30/2025,$136.91,2406200,$135.89,$137.42,$135.89
12/29/2025,$136.62,2773301,$136.50,$137.16,$136.16
12/26/2025,$136.82,1776009,$136.73,$137.2113,$136.15
12/24/2025,$136.78,1457175,$136.01,$137.99,$135.81
12/23/2025,$136.49,3464822,$136.60,$137.21,$135.58
12/22/2025,$136.95,5568207,$136.09,$138.52,$135.95
12/19/2025,$135.28,10530750,$134.15,$137.05,$133.61
12/18/2025,$133.99,4257799,$133.30,$135.41,$132.96
12/17/2025,$133.78,6158389,$133.96,$136.82,$133.6211
12/16/2025,$132.01,4390926,$132.03,$133.0485,$131.17
12/15/2025,$131.81,5518099,$129.29,$132.25,$128.30
12/12/2025,$128.39,3581154,$128.93,$130.60,$128.19
12/11/2025,$128.00,5075704,$127.60,$129.61,$126.97
12/10/2025,$127.57,4731221,$125.45,$128.83,$124.46
12/09/2025,$125.39,3609041,$121.61,$125.81,$121.1538
12/08/2025,$122.01,4030344,$124.215,$124.215,$120.915
12/05/2025,$124.32,3962329,$120.92,$124.81,$120.4001
12/04/2025,$120.82,4024055,$120.15,$121.00,$119.22
12/03/2025,$120.13,5485468,$118.26,$120.7225,$117.63
12/02/2025,$118.50,6681480,$118.65,$120.0907,$117.37
12/01/2025,$118.80,4713156,$116.00,$119.6196,$115.645
11/28/2025,$116.99,2522283,$116.755,$117.79,$116.40
11/26/2025,$116.74,5112234,$117.99,$118.04,$116.40
11/25/2025,$118.56,7731122,$114.465,$119.24,$114.465
11/24/2025,$114.41,6476412,$114.665,$115.05,$113.38
11/21/2025,$114.26,6866157,$112.17,$115.69,$111.84
11/20/2025,$111.54,7206680,$114.51,$115.14,$110.81
11/19/2025,$114.44,4516081,$115.50,$115.91,$114.075
11/18/2025,$115.42,5547169,$116.59,$118.54,$115.39
11/17/2025,$117.60,5187054,$120.74,$121.33,$116.7012
11/14/2025,$122.02,4119734,$120.92,$122.75,$119.6042
11/13/2025,$121.19,3715970,$121.505,$123.40,$121.00
11/12/2025,$121.69,3713821,$122.66,$122.85,$120.705
11/11/2025,$122.53,4425011,$120.28,$123.459,$120.00
11/10/2025,$120.20,7481669,$121.94,$122.83,$119.78
11/07/2025,$120.88,11755950,$125.495,$125.76,$117.1473
11/06/2025,$120.53,9853439,$122.38,$123.39,$119.82
11/05/2025,$122.50,4580421,$122.00,$124.09,$121.60
11/04/2025,$122.35,5967308,$125.50,$125.99,$121.93
11/03/2025,$126.80,4053762,$126.46,$127.325,$124.6201
10/31/2025,$126.54,3481550,$126.18,$127.15,$125.26
10/30/2025,$126.34,4013366,$125.47,$128.275,$125.26
10/29/2025,$126.48,5102906,$127.87,$128.68,$125.465
10/28/2025,$128.01,4463174,$129.59,$130.05,$127.67
10/27/2025,$129.07,3838994,$128.23,$129.54,$126.38
10/24/2025,$127.99,3344365,$127.65,$129.06,$127.35
10/23/2025,$127.35,3239443,$127.53,$128.80,$126.74
10/22/2025,$127.50,3292727,$128.52,$128.965,$127.31
10/21/2025,$128.56,3331492,$126.87,$129.50,$126.675
10/20/2025,$127.21,3977111,$126.11,$128.50,$125.79
10/17/2025,$125.91,4479100,$123.065,$126.40,$122.805
10/16/2025,$122.89,5254222,$124.26,$126.97,$122.045
10/15/2025,$124.26,5677933,$124.335,$125.875,$122.69
10/14/2025,$122.89,6171640,$117.69,$124.47,$117.69
10/13/2025,$118.86,3344832,$118.91,$119.80,$118.25
10/10/2025,$118.19,5107060,$120.30,$120.58,$116.32
10/09/2025,$120.15,3415243,$120.46,$121.4182,$119.56
10/08/2025,$119.99,4407384,$120.235,$120.77,$118.91
10/07/2025,$119.85,4415874,$120.49,$121.10,$119.14
10/06/2025,$120.35,5474253,$120.73,$123.1499,$120.05
10/03/2025,$120.22,5911349,$121.65,$122.25,$119.84
10/02/2025,$121.49,4562181,$122.47,$122.50,$120.02
10/01/2025,$122.32,3443702,$120.85,$122.61,$120.785
09/30/2025,$121.42,3730456,$122.90,$123.08,$120.52
09/29/2025,$122.92,3874669,$124.44,$124.58,$122.83
09/26/2025,$123.70,2899605,$122.20,$123.91,$121.65
09/25/2025,$121.75,3631968,$122.91,$122.91,$121.1178
09/24/2025,$123.08,4060490,$123.50,$125.59,$122.08
09/23/2025,$123.50,5634711,$125.44,$126.855,$123.05
09/22/2025,$125.44,5591124,$125.65,$126.64,$123.35
09/19/2025,$127.04,9144270,$126.33,$127.85,$125.19
09/18/2025,$125.47,4235741,$123.74,$125.72,$123.60
09/17/2025,$123.20,4973260,$121.98,$124.45,$121.52
09/16/2025,$121.66,5072217,$120.71,$121.99,$119.765
09/15/2025,$120.37,7060401,$122.91,$122.98,$119.76
09/12/2025,$122.55,5263923,$123.07,$123.45,$121.84
09/11/2025,$123.05,5241465,$123.695,$124.50,$122.65
09/10/2025,$123.41,4772621,$123.81,$124.44,$122.63
