Date,Open,High,Low,Close,Volume
02/27/2026,"206.83","210.33","205.20","210.00","57,422,781"
02/26/2026,"210.73","211.05","205.35","207.92","47,756,770"
02/25/2026,"210.46","211.59","208.93","210.64","41,346,379"
02/24/2026,"205.47","210.36","203.25","208.56","41,137,160"
02/23/2026,"208.10","208.43","203.11","205.27","53,581,512"
02/20/2026,"204.76","211.17","203.75","210.11","65,881,609"
02/19/2026,"203.80","205.64","202.81","204.86","35,669,609"
02/18/2026,"202.07","206.86","201.51","204.79","51,003,301"
02/17/2026,"198.13","201.74","196.00","201.15","69,879,203"
02/13/2026,"198.88","201.16","197.28","198.79","66,321,594"
02/12/2026,"203.96","203.96","197.56","199.60","83,975,391"
02/11/2026,"208.06","208.57","202.49","204.08","65,545,461"
02/10/2026,"208.80","212.65","206.41","206.96","67,175,031"
02/09/2026,"208.97","212.81","203.35","208.72","91,178,438"
02/06/2026,"202.70","211.44","200.31","210.32","179,210,891"
02/05/2026,"224.91","226.31","220.38","222.69","103,509,203"
02/04/2026,"238.86","238.86","231.82","232.99","51,299,953"
02/03/2026,"244.98","246.35","235.45","238.62","53,831,301"
02/02/2026,"238.31","245.63","238.17","242.96","37,546,102"
01/30/2026,"239.89","243.32","237.64","239.30","46,585,020"
01/29/2026,"242.82","243.00","236.74","241.73","47,229,641"
01/28/2026,"246.37","247.78","241.53","243.01","40,882,660"
01/27/2026,"239.69","244.88","238.08","244.68","38,029,219"
01/26/2026,"239.98","240.95","237.54","238.42","32,825,531"
01/23/2026,"234.96","240.45","234.57","239.16","33,778,480"
01/22/2026,"234.05","235.72","230.90","234.34","31,913,330"
01/21/2026,"231.09","232.30","226.88","231.31","47,276,090"
01/20/2026,"233.76","235.09","229.34","231.00","47,737,848"
01/16/2026,"239.09","239.57","236.41","239.12","45,888,281"
01/15/2026,"239.31","240.65","236.63","238.18","43,003,566"
01/14/2026,"241.15","241.28","236.22","236.65","41,410,578"
01/13/2026,"246.53","247.66","240.25","242.60","38,371,781"
01/12/2026,"246.73","248.94","245.96","246.47","35,867,770"
01/09/2026,"244.57","247.86","242.24","247.38","34,559,961"
01/08/2026,"243.06","246.41","241.88","246.29","39,509,840"
01/07/2026,"239.61","245.29","239.52","241.56","42,236,527"
01/06/2026,"232.10","243.18","232.07","240.93","53,764,680"
01/05/2026,"228.84","234.00","227.18","233.06","49,733,352"
01/02/2026,"231.34","235.46","224.70","226.50","51,456,230"
12/31/2025,"232.91","232.99","230.12","230.82","24,383,750"
12/30/2025,"231.21","232.77","230.20","232.53","21,910,449"
12/29/2025,"231.94","232.60","230.77","232.07","19,797,910"
12/26/2025,"232.04","232.99","231.18","232.52","15,994,730"
12/24/2025,"232.13","232.95","231.33","232.38","11,420,540"
12/23/2025,"229.06","232.45","228.73","232.14","29,230,230"
12/22/2025,"228.61","229.48","226.71","228.43","32,261,330"
12/19/2025,"226.76","229.13","225.58","227.35","85,544,367"
12/18/2025,"225.71","229.23","224.41","226.76","50,272,422"
12/17/2025,"224.66","225.19","220.99","221.27","44,034,422"
12/16/2025,"223.04","223.66","221.13","222.56","39,298,859"
12/15/2025,"227.93","227.93","221.50","222.54","47,286,090"
12/12/2025,"229.87","230.08","225.12","226.19","35,639,121"
12/11/2025,"230.71","232.11","228.69","230.28","28,249,600"
12/10/2025,"228.81","232.42","228.46","231.78","38,790,738"
12/09/2025,"226.84","228.57","225.11","227.92","25,841,740"
12/08/2025,"229.59","230.83","226.27","226.89","35,019,168"
12/05/2025,"230.32","231.24","228.55","229.53","33,117,379"
12/04/2025,"232.77","233.50","226.80","229.11","45,683,219"
12/03/2025,"233.35","233.38","230.61","232.38","35,495,059"
12/02/2025,"235.01","238.97","233.55","234.42","45,785,359"
12/01/2025,"233.22","235.80","232.25","233.88","41,987,300"
11/28/2025,"231.24","233.29","230.22","233.22","20,279,600"
11/26/2025,"230.74","231.75","228.77","229.16","38,497,922"
11/25/2025,"226.38","230.52","223.80","229.67","39,379,340"
11/24/2025,"222.56","227.33","222.27","226.28","54,318,398"
11/21/2025,"216.35","222.21","215.18","220.69","68,490,461"
11/20/2025,"227.05","227.41","216.74","217.14","50,308,961"
11/19/2025,"223.74","223.74","218.52","222.69","58,335,641"
11/18/2025,"228.10","230.20","222.42","222.55","60,608,441"
11/17/2025,"233.25","234.60","229.19","232.87","59,919,020"
11/14/2025,"235.06","238.73","232.89","234.69","38,956,672"
11/13/2025,"243.05","243.75","236.50","237.58","41,401,738"
11/12/2025,"250.24","250.37","243.75","244.20","31,190,061"
11/11/2025,"248.41","249.75","247.23","249.10","23,564,061"
11/10/2025,"248.34","251.75","245.59","248.40","36,476,512"
11/07/2025,"242.90","244.90","238.49","244.41","46,374,289"
11/06/2025,"249.16","250.38","242.17","243.04","46,004,199"
11/05/2025,"249.03","251.00","246.16","250.20","40,610,699"
11/04/2025,"250.38","257.01","248.66","249.32","51,546,312"
11/03/2025,"255.36","258.60","252.90","254.00","95,997,820"
10/31/2025,"250.10","250.50","243.98","244.22","166,340,797"
10/30/2025,"227.06","228.44","222.75","222.86","102,252,898"
10/29/2025,"231.67","232.82","227.76","230.30","52,036,152"
10/28/2025,"228.22","231.49","226.21","229.25","47,100,031"
10/27/2025,"227.66","228.40","225.54","226.97","38,267,000"
10/24/2025,"221.97","225.40","221.90","224.21","38,685,047"
10/23/2025,"219.00","221.30","218.18","221.09","31,540,000"
10/22/2025,"219.30","220.01","216.52","217.95","44,308,539"
10/21/2025,"218.43","223.32","217.99","222.03","50,494,566"
10/20/2025,"213.88","216.69","213.59","216.48","38,882,820"
10/17/2025,"214.56","214.80","211.03","213.04","45,986,941"
10/16/2025,"215.67","218.59","212.81","214.47","42,414,594"
10/15/2025,"216.62","217.71","212.66","215.57","45,909,473"
10/14/2025,"215.56","219.32","212.60","216.39","45,665,578"
10/13/2025,"217.70","220.68","217.04","220.07","37,809,648"
10/10/2025,"226.21","228.25","216.00","216.37","72,367,516"
10/09/2025,"225.00","228.21","221.75","227.74","46,412,121"
10/08/2025,"222.92","226.73","221.19","225.22","46,685,992"
10/07/2025,"220.88","222.89","220.17","221.78","31,194,680"
10/06/2025,"221.00","221.73","216.03","220.90","43,690,879"
10/03/2025,"223.44","224.20","219.34","219.51","43,639,031"
10/02/2025,"221.01","222.81","218.95","222.41","41,258,594"
10/01/2025,"217.36","222.15","216.61","220.63","43,933,832"
09/30/2025,"222.03","222.24","217.89","219.57","48,396,367"
09/29/2025,"220.08","222.60","219.30","222.17","44,259,180"
09/26/2025,"219.08","221.05","218.02","219.78","41,650,102"
09/25/2025,"220.06","220.67","216.47","218.15","52,226,328"
09/24/2025,"224.15","224.56","219.45","220.21","49,509,031"
09/23/2025,"227.83","227.86","220.07","220.71","70,956,195"
09/22/2025,"230.56","230.57","227.51","227.63","45,914,512"
09/19/2025,"232.37","234.16","229.70","231.48","97,943,172"
09/18/2025,"232.50","233.48","228.79","231.23","37,931,738"
09/17/2025,"233.77","234.30","228.71","231.62","42,815,230"
09/16/2025,"232.94","235.90","232.23","234.05","38,203,910"
09/15/2025,"230.63","233.73","230.32","231.43","33,243,328"
09/12/2025,"230.35","230.79","226.29","228.15","38,496,219"
09/11/2025,"231.49","231.53","229.34","229.95","37,485,602"
09/10/2025,"237.52","237.68","229.10","230.33","60,907,711"
09/09/2025,"236.36","238.85","235.08","238.24","27,033,779"
09/08/2025,"234.94","237.60","233.75","235.84","33,947,102"
09/05/2025,"235.19","236.00","231.93","232.33","36,721,801"
09/04/2025,"231.19","235.77","230.78","235.68","59,391,781"
09/03/2025,"225.21","227.17","224.36","225.99","29,223,131"
09/02/2025,"223.52","226.17","221.83","225.34","38,843,879"
08/29/2025,"231.32","231.81","228.16","229.00","26,199,170"
