Date,Close/Last,Volume,Open,High,Low
02/27/2026,$61.97,5963226,$62.00,$62.27,$61.01
02/26/2026,$62.86,4215176,$63.29,$64.14,$62.51
02/25/2026,$62.33,3381754,$61.97,$62.5197,$61.48
02/24/2026,$62.73,4101454,$62.77,$64.23,$62.51
02/23/2026,$62.71,4567411,$64.00,$64.20,$61.17
02/20/2026,$64.48,9402166,$65.75,$68.21,$62.97
02/19/2026,$66.30,3666793,$66.40,$66.84,$65.38
02/18/2026,$66.91,3191184,$66.37,$67.69,$65.275
02/17/2026,$66.10,4102203,$66.44,$66.71,$64.41
02/13/2026,$65.80,4175260,$64.68,$66.335,$64.25
02/12/2026,$64.87,4200870,$67.09,$68.19,$64.40
02/11/2026,$67.08,3924475,$68.20,$68.355,$66.73
02/10/2026,$68.04,4477398,$67.59,$69.305,$67.59
02/09/2026,$67.08,4914024,$69.37,$69.61,$66.94
02/06/2026,$70.41,3051600,$68.35,$70.52,$68.25
02/05/2026,$68.18,3579234,$68.53,$69.00,$66.44
02/04/2026,$68.50,4690177,$66.36,$69.05,$66.05
02/03/2026,$65.57,3339524,$65.34,$67.41,$64.40
02/02/2026,$65.90,4869956,$63.51,$65.92,$62.77
01/30/2026,$65.10,7273763,$65.03,$66.56,$64.10
01/29/2026,$65.15,3681852,$65.72,$66.10,$64.85
01/28/2026,$65.56,3823307,$66.33,$66.33,$64.77
01/27/2026,$65.74,3976604,$66.75,$66.835,$65.04
01/26/2026,$66.75,2909125,$67.08,$68.345,$66.66
01/23/2026,$67.05,3154458,$66.80,$67.44,$66.39
01/22/2026,$67.06,3249044,$66.97,$67.62,$66.595
01/21/2026,$66.56,4306482,$65.60,$66.67,$65.05
01/20/2026,$65.83,5528306,$66.69,$67.355,$65.4108
01/16/2026,$67.76,6554535,$67.50,$67.78,$66.00
01/15/2026,$68.14,3787392,$66.94,$68.365,$66.10
01/14/2026,$66.68,4460953,$67.15,$68.71,$66.63
01/13/2026,$67.48,4361505,$67.97,$68.19,$66.98
