Date,Close/Last,Volume,Open,High,Low
02/27/2026,$37.22,20764590,$37.50,$37.50,$36.29
02/26/2026,$38.05,11739080,$37.745,$38.335,$37.59
02/25/2026,$37.50,14160580,$36.94,$37.64,$36.61
02/24/2026,$36.49,13621270,$36.565,$36.83,$36.145
02/23/2026,$36.61,14382700,$37.13,$37.39,$36.17
02/20/2026,$37.54,13157580,$37.905,$38.2903,$37.26
02/19/2026,$37.97,10863180,$38.49,$38.595,$37.51
02/18/2026,$38.72,12122390,$38.12,$39.195,$38.12
02/17/2026,$37.88,17175090,$37.355,$37.98,$36.57
02/13/2026,$36.30,18749080,$36.19,$37.10,$36.13
02/12/2026,$35.84,30513010,$37.45,$37.61,$35.53
02/11/2026,$37.22,23711380,$38.32,$38.335,$36.925
02/10/2026,$38.44,13523820,$39.57,$39.99,$38.425
02/09/2026,$39.59,17172720,$39.23,$39.75,$38.6607
02/06/2026,$39.39,17541350,$38.775,$40.14,$38.775
02/05/2026,$38.45,20047280,$39.90,$40.41,$38.35
02/04/2026,$39.93,40466430,$37.715,$40.13,$37.42
02/03/2026,$39.17,41056080,$38.375,$39.205,$37.83
02/02/2026,$38.51,26550440,$38.755,$38.99,$38.02
01/30/2026,$38.87,14627590,$38.91,$39.115,$38.43
01/29/2026,$39.10,15767740,$39.25,$39.515,$38.57
01/28/2026,$39.16,13387130,$39.965,$40.25,$38.96
01/27/2026,$39.65,9869044,$39.59,$39.9251,$39.14
01/26/2026,$39.72,16831530,$40.80,$40.91,$39.48
01/23/2026,$40.87,11989550,$40.555,$41.33,$40.49
01/22/2026,$40.54,12910860,$40.77,$41.20,$40.45
01/21/2026,$40.72,27628080,$39.25,$41.42,$39.10
01/20/2026,$39.00,22784380,$39.425,$40.27,$38.91
01/16/2026,$39.96,12654010,$40.15,$40.475,$39.55
01/15/2026,$40.36,13387540,$40.70,$40.84,$40.08
01/14/2026,$40.59,16011550,$39.225,$40.655,$39.0431
01/13/2026,$39.41,19410050,$39.755,$40.11,$38.69
01/12/2026,$40.34,14480700,$40.00,$40.64,$39.32
01/09/2026,$40.11,18266230,$39.74,$40.15,$39.045
01/08/2026,$39.18,13628420,$38.67,$39.815,$38.42
01/07/2026,$38.87,12621540,$38.72,$39.49,$38.655
01/06/2026,$38.62,20093190,$38.35,$39.28,$38.31
01/05/2026,$38.25,16303010,$37.43,$39.06,$37.43
01/02/2026,$37.49,12791150,$37.25,$37.67,$36.72
12/31/2025,$37.00,9885604,$37.04,$37.24,$36.85
12/30/2025,$37.04,11069540,$37.01,$37.69,$36.94
12/29/2025,$37.14,14148620,$37.605,$37.70,$37.055
12/26/2025,$37.81,8469994,$37.755,$38.01,$37.63
12/24/2025,$37.90,6284739,$37.87,$38.11,$37.8155
12/23/2025,$37.79,17914110,$37.98,$37.98,$37.00
12/22/2025,$37.92,16339000,$37.60,$38.19,$37.38
12/19/2025,$37.64,45594550,$37.596,$38.23,$36.98
12/18/2025,$37.63,29399100,$37.46,$38.06,$37.27
12/17/2025,$37.00,27823490,$35.73,$37.515,$35.70
12/16/2025,$35.66,17002300,$36.04,$36.30,$35.405
12/15/2025,$35.94,22745370,$36.15,$36.52,$35.76
12/12/2025,$36.14,28320100,$35.19,$36.3799,$35.165
12/11/2025,$34.87,17170290,$34.07,$35.06,$34.035
12/10/2025,$33.94,13445050,$33.72,$34.19,$33.58
12/09/2025,$33.73,12830080,$33.495,$34.10,$33.42
12/08/2025,$33.61,16257140,$34.65,$34.655,$33.525
12/05/2025,$33.94,17372800,$33.96,$34.15,$33.655
12/04/2025,$34.15,16999800,$33.91,$34.16,$33.43
12/03/2025,$33.93,23058270,$34.165,$34.59,$33.89
12/02/2025,$34.14,14710810,$34.37,$34.50,$33.76
12/01/2025,$34.24,20127300,$34.21,$35.135,$34.0527
11/28/2025,$34.52,13042400,$34.01,$34.80,$34.00
11/26/2025,$34.03,23495640,$33.48,$34.24,$33.28
11/25/2025,$33.40,28601190,$31.48,$33.41,$31.30
11/24/2025,$31.19,25032640,$31.73,$31.926,$31.01
11/21/2025,$31.63,21759040,$30.57,$32.00,$30.56
11/20/2025,$30.35,21402580,$30.93,$31.785,$30.31
11/19/2025,$31.00,17756030,$30.862,$31.25,$30.50
11/18/2025,$30.76,21086130,$30.46,$31.02,$30.2732
11/17/2025,$30.53,21919840,$31.60,$31.60,$30.25
11/14/2025,$31.57,18557440,$31.22,$31.795,$31.01
11/13/2025,$31.38,22758960,$31.40,$31.925,$31.19
11/12/2025,$31.32,31813350,$30.18,$31.36,$30.00
11/11/2025,$29.81,36971760,$30.41,$30.49,$29.75
11/10/2025,$30.48,30288980,$30.90,$31.12,$30.3201
11/07/2025,$30.59,33734940,$30.385,$30.71,$30.02
11/06/2025,$30.56,31448220,$31.56,$32.00,$30.48
11/05/2025,$31.97,32380690,$31.69,$32.29,$31.419
11/04/2025,$31.74,34627230,$31.44,$32.06,$31.37
11/03/2025,$31.51,33594380,$31.65,$32.13,$31.29
10/31/2025,$31.69,50225040,$32.51,$32.51,$31.205
10/30/2025,$32.53,110050500,$31.27,$34.13,$31.01
10/29/2025,$39.76,30048440,$39.99,$40.65,$39.585
10/28/2025,$40.26,12383420,$41.00,$41.00,$40.23
10/27/2025,$41.06,13615720,$41.40,$41.52,$40.95
10/24/2025,$41.19,12195020,$42.18,$42.19,$41.04
10/23/2025,$41.80,11440970,$41.645,$42.055,$41.10
10/22/2025,$41.61,10182400,$42.24,$42.38,$41.428
10/21/2025,$42.36,12065930,$41.59,$42.74,$41.575
10/20/2025,$41.63,15121600,$41.82,$42.335,$41.3201
10/17/2025,$41.86,9933391,$41.665,$42.30,$41.49
10/16/2025,$41.76,12209620,$41.82,$42.175,$41.47
10/15/2025,$41.77,15218840,$42.35,$42.815,$41.735
10/14/2025,$42.10,20564470,$40.30,$42.605,$40.06
10/13/2025,$40.90,13235780,$40.12,$41.06,$40.085
10/10/2025,$39.82,15268980,$41.08,$41.40,$39.81
10/09/2025,$40.89,15623120,$41.04,$41.66,$40.865
10/08/2025,$40.98,15236370,$41.00,$41.105,$40.26
10/07/2025,$40.95,15614950,$41.50,$41.8887,$40.65
