Date,Close/Last,Volume,Open,High,Low
02/28/2026,33.89,N/A,32.97,34.50,32.52
02/27/2026,32.99,N/A,35.37,33.47,32.81
02/26/2026,35.31,N/A,35.81,35.53,33.85
02/25/2026,35.99,N/A,33.00,36.11,34.68
02/24/2026,33.20,N/A,31.64,33.94,32.16
02/23/2026,31.60,N/A,31.58,32.36,31.40
02/22/2026,31.56,N/A,34.06,33.21,31.14
02/21/2026,33.92,N/A,34.68,34.05,33.55
02/20/2026,34.66,N/A,34.12,36.01,34.46
02/19/2026,34.15,N/A,35.80,34.93,33.95
02/18/2026,35.77,N/A,37.74,35.93,35.36
02/17/2026,37.76,N/A,37.98,37.99,37.05
02/16/2026,38.11,N/A,37.83,38.75,37.87
02/15/2026,37.75,N/A,39.97,37.90,37.14
02/14/2026,40.03,N/A,37.76,40.62,39.40
02/13/2026,37.92,N/A,34.15,38.32,37.03
02/12/2026,34.20,N/A,34.31,34.60,34.05
02/11/2026,34.44,N/A,34.60,34.70,33.93
02/10/2026,34.67,N/A,36.12,35.87,34.55
02/09/2026,36.11,N/A,36.83,37.18,35.89
02/08/2026,36.86,N/A,36.34,37.49,36.61
02/07/2026,36.25,N/A,36.98,36.82,36.18
02/06/2026,37.01,N/A,34.53,38.01,36.77
02/05/2026,34.53,N/A,39.71,35.33,31.07
02/04/2026,39.81,N/A,41.85,40.72,38.97
02/03/2026,41.93,N/A,44.53,42.55,40.73
02/02/2026,44.44,N/A,43.83,44.85,42.37
02/01/2026,44.13,N/A,45.87,45.34,42.32
01/31/2026,43.23,N/A,51.47,51.43,42.06
01/30/2026,49.17,N/A,52.80,51.43,48.98
01/29/2026,52.79,N/A,55.74,55.34,52.26
01/28/2026,55.69,N/A,61.24,59.05,55.55
01/27/2026,61.52,N/A,61.71,63.61,60.77
01/26/2026,61.69,N/A,59.85,64.54,59.73
01/25/2026,59.77,N/A,64.93,60.41,57.87
01/24/2026,64.78,N/A,67.28,67.49,64.30
01/23/2026,65.98,N/A,65.58,67.49,64.74
01/22/2026,65.31,N/A,65.84,65.53,62.63
01/21/2026,66.50,N/A,70.45,68.32,65.94
01/20/2026,70.42,N/A,74.29,70.46,67.37
01/19/2026,74.00,N/A,81.45,75.93,73.41
01/18/2026,80.81,N/A,73.84,82.89,74.07
01/17/2026,73.84,N/A,82.86,76.26,71.93
01/16/2026,82.60,N/A,88.72,85.59,81.28
01/15/2026,87.93,N/A,79.37,90.29,79.95
01/14/2026,79.92,N/A,58.76,83.86,75.67
01/13/2026,59.09,N/A,45.46,60.57,56.42
01/12/2026,45.37,N/A,38.34,45.96,39.25
01/11/2026,38.25,N/A,37.26,38.85,36.85
01/10/2026,37.22,N/A,37.03,37.54,37.09
01/09/2026,37.08,N/A,39.03,37.94,36.73
01/08/2026,39.03,N/A,40.57,39.55,38.75
01/07/2026,40.54,N/A,43.45,41.42,40.30
01/06/2026,43.42,N/A,45.00,44.69,43.11
01/05/2026,45.08,N/A,43.05,45.08,43.63
01/04/2026,43.06,N/A,43.06,44.34,42.82
01/03/2026,43.19,N/A,44.31,43.53,42.85
01/02/2026,44.67,N/A,42.47,45.00,42.56
01/01/2026,42.53,N/A,41.15,43.51,42.16
12/31/2025,41.14,N/A,42.94,41.76,41.00
12/30/2025,43.20,N/A,42.74,43.41,42.53
12/29/2025,42.96,N/A,44.62,43.30,42.25
12/28/2025,44.72,N/A,44.35,45.20,43.68
12/27/2025,44.39,N/A,40.14,44.98,43.61
12/26/2025,40.36,N/A,38.88,40.86,39.06
12/25/2025,38.84,N/A,39.88,39.34,37.78
12/24/2025,40.24,N/A,36.98,40.24,37.91
12/23/2025,37.12,N/A,37.75,38.14,36.85
12/22/2025,37.82,N/A,37.98,38.99,37.51
12/21/2025,38.03,N/A,39.21,39.35,37.89
12/20/2025,39.23,N/A,38.73,40.06,39.10
12/19/2025,38.80,N/A,36.59,39.09,38.42
12/18/2025,36.60,N/A,37.97,36.70,35.03
12/17/2025,37.96,N/A,40.28,38.51,37.42
12/16/2025,40.29,N/A,39.96,41.04,40.07
12/15/2025,39.81,N/A,42.31,40.91,39.52
12/14/2025,42.31,N/A,45.05,42.41,40.86
12/13/2025,44.66,N/A,46.52,47.12,44.34
12/12/2025,46.84,N/A,47.63,47.12,45.66
12/11/2025,47.75,N/A,45.94,48.55,47.23
12/10/2025,46.02,N/A,51.16,46.98,45.56
12/09/2025,51.16,N/A,47.48,53.22,49.84
12/08/2025,47.59,N/A,46.40,50.18,47.31
12/07/2025,46.43,N/A,47.06,46.53,44.36
12/06/2025,47.04,N/A,47.11,47.58,46.82
12/05/2025,47.21,N/A,50.04,47.29,46.27
12/04/2025,50.43,N/A,50.48,52.41,49.45
12/03/2025,50.17,N/A,47.44,50.54,48.38
12/02/2025,47.90,N/A,47.46,47.95,46.34
12/01/2025,47.64,N/A,47.42,49.07,47.37
11/30/2025,47.30,N/A,56.21,53.43,47.27
11/29/2025,56.23,N/A,58.00,57.41,56.15
11/28/2025,58.12,N/A,58.52,58.77,57.18
11/27/2025,58.34,N/A,66.08,61.83,57.28
11/26/2025,66.23,N/A,58.89,71.35,64.64
11/25/2025,59.08,N/A,56.63,60.01,57.29
11/24/2025,56.56,N/A,56.36,57.30,55.57
11/23/2025,59.93,N/A,55.41,61.99,56.74
11/22/2025,60.86,N/A,55.82,61.01,56.74
11/21/2025,54.06,N/A,68.94,61.53,54.01
11/20/2025,68.44,N/A,82.69,74.28,67.91
11/19/2025,82.74,N/A,75.22,85.78,78.26
11/18/2025,75.40,N/A,76.17,78.28,74.30
11/17/2025,75.45,N/A,84.48,81.69,74.18
11/16/2025,91.28,N/A,80.41,97.90,87.48
11/14/2025,65.38,N/A,68.75,65.63,61.71
11/13/2025,63.47,N/A,67.37,64.90,63.40
11/12/2025,67.15,N/A,70.94,68.01,65.95
11/11/2025,71.21,N/A,74.03,72.17,66.06
11/10/2025,73.76,N/A,82.36,75.48,72.08
11/09/2025,82.43,N/A,76.42,85.59,81.03
11/08/2025,79.92,N/A,105.02,102.98,75.48
11/07/2025,88.93,N/A,122.67,102.98,88.45
11/06/2025,121.26,N/A,100.30,124.38,107.50
11/05/2025,100.19,N/A,112.87,107.48,97.23
11/04/2025,113.47,N/A,145.94,122.40,108.77
11/03/2025,147.84,N/A,87.38,147.84,112.68
11/02/2025,87.86,N/A,75.32,95.36,82.45
11/01/2025,58.99,N/A,47.35,61.25,52.31
10/31/2025,52.30,N/A,44.00,52.34,43.67
10/30/2025,45.51,N/A,46.70,46.22,43.67
10/29/2025,46.58,N/A,46.01,47.58,45.87
10/28/2025,46.13,N/A,47.83,47.53,45.63
10/27/2025,47.90,N/A,51.25,49.23,47.75
10/26/2025,51.10,N/A,41.76,54.21,49.45
10/25/2025,41.69,N/A,41.51,42.04,41.23
10/24/2025,41.52,N/A,42.30,42.14,41.35
10/23/2025,42.10,N/A,42.09,43.48,41.48
10/22/2025,42.04,N/A,45.39,42.46,41.41
10/21/2025,45.26,N/A,45.53,46.03,44.67
10/20/2025,45.34,N/A,43.75,49.09,45.22
10/19/2025,43.76,N/A,43.79,43.89,41.61
10/18/2025,43.60,N/A,44.87,43.99,41.82
10/17/2025,45.19,N/A,42.63,45.98,42.92
10/16/2025,42.42,N/A,46.94,43.34,41.98
10/15/2025,47.08,N/A,45.31,47.57,45.03
10/14/2025,45.48,N/A,47.43,47.79,44.41
10/13/2025,47.52,N/A,59.80,51.25,47.14
10/12/2025,59.64,N/A,38.50,59.70,52.35
10/11/2025,38.70,N/A,34.96,40.46,37.24
10/10/2025,34.87,N/A,42.46,38.05,34.40
10/09/2025,43.42,N/A,31.26,44.81,35.08
