Date,Close/Last,Volume,Open,High,Low
8/28/2025,40.1956,35577,40.116,40.1956,40.116
8/29/2025,40.4842,752,40.4842,40.4842,40.4842
9/2/2025,40.8226,67920,40.6435,40.8326,40.6435
9/3/2025,41.2505,46412,40.8027,41.2505,40.8027
9/4/2025,41.0017,12630,41.0017,41.0017,41.0017
9/5/2025,40.8101,3216,40.8026,40.8101,40.6832
9/8/2025,40.6235,43467,40.6534,40.7031,40.6135
9/9/2025,40.5141,24690,40.2653,40.5937,40.2653
9/10/2025,40.2752,16619,40.4817,40.4817,40.1558
9/11/2025,40.5365,4116,40.5365,40.5365,40.5365
9/12/2025,39.9568,5963,40.1857,40.1857,39.9568
9/15/2025,39.4,2525,39.7592,39.7592,39.2104
9/16/2025,38.9112,753,39.2105,39.3901,38.8114
9/17/2025,39.2903,3835,39.0858,39.2903,39.0858
9/18/2025,39.6495,1258,39.4679,39.6495,39.4679
9/19/2025,40.9339,23009,40.9339,40.9339,40.9339
9/22/2025,38.9411,301570,38.9211,39.0808,38.9211
9/23/2025,39.0708,95155,39.001,39.0708,38.7116
9/24/2025,38.6767,1382,38.6767,38.6767,38.6767
9/25/2025,38.4821,1068,38.5759,38.5819,38.4821
9/26/2025,38.6168,240,38.6168,38.6168,38.6168
9/29/2025,38.4921,2563,38.6318,38.6318,38.4921
9/30/2025,38.345,916,38.4173,38.4173,38.345
10/1/2025,38.6243,403,38.6243,38.6243,38.6243
10/2/2025,38.7515,455,38.7515,38.7515,38.7515
10/3/2025,39.2504,4057,39.0309,39.2504,39.0309
10/6/2025,38.6019,1415,38.7615,38.9162,38.6019
10/7/2025,38.7715,2026,37.9933,38.7715,37.9933
10/8/2025,39.3127,591,39.0508,39.3127,39.0508
10/9/2025,38.9311,4828,39.0408,39.0408,38.9211
10/10/2025,39.869,176357,39.8989,39.8989,39.869
10/13/2025,39.6595,673,39.6595,39.6595,39.6595
10/14/2025,40.4776,217,40.4776,40.4776,40.4776
10/15/2025,40.57,0,40.57,40.57,40.57
10/16/2025,41.2458,2702,40.9365,41.2458,40.9365
10/17/2025,41.34,0,41.34,41.34,41.34
10/20/2025,41.4495,8667,42.2236,42.2236,41.4004
10/21/2025,41.4953,1028,41.5153,41.5153,41.4953
10/22/2025,42.0789,2412,41.3955,42.1637,41.3955
10/23/2025,41.4953,1099,41.9742,41.9742,41.4953
10/24/2025,41.3256,240,41.3855,41.3855,41.3256
10/27/2025,40.7749,3576,41.3456,41.3655,40.7071
10/28/2025,40.5973,583,40.5474,40.6771,40.5474
10/29/2025,39.0484,1997,39.6594,40.3558,39.0109
10/30/2025,39.3701,2158,39.1706,39.3851,39.1706
10/31/2025,39.5517,4981,39.1207,39.5517,39.0359
11/3/2025,39.64,0,39.64,39.64,39.64
11/4/2025,39.9288,3361,39.849,39.9787,39.849
11/5/2025,40.8368,1345,40.5973,40.8368,40.5973
11/6/2025,40.2282,2397,39.6395,40.3379,39.6395
11/7/2025,40.3978,608,40.3978,40.3978,40.3978
11/10/2025,40.1683,49271,40.2581,40.2581,39.9967
11/11/2025,40.1084,641,40.3179,40.4776,40.1084
11/12/2025,41.842,6659,40.3479,41.842,40.3479
11/13/2025,42.1937,10985,42.2236,42.513,42.1937
11/14/2025,43.1315,674,42.6825,43.1315,42.6825
11/17/2025,42.5828,156100,42.5828,42.5828,42.5828
11/18/2025,43.5107,128934,43.5107,43.5107,43.5107
11/19/2025,42.6875,600,42.6875,42.6875,42.6875
11/20/2025,42.79,0,42.79,42.79,42.79
11/21/2025,44.3887,41073,44.3887,44.3887,44.3887
11/24/2025,43.5506,217380,44.6531,44.6531,43.5506
11/25/2025,44.6281,91160,44.7179,44.8376,44.6281
11/26/2025,44.4575,5508,44.698,44.698,44.4575
11/28/2025,44.56,0,44.56,44.56,44.56
12/1/2025,44.8975,2328,44.8775,44.9773,44.8775
12/2/2025,44.1692,647,44.1692,44.1692,44.1692
12/3/2025,43.5406,1377,43.7701,43.7801,43.5406
12/4/2025,44.5458,478,44.4665,44.5458,44.4665
12/5/2025,44.9224,11262,44.8975,45.0272,44.8975
12/8/2025,44.471,25470,44.5443,44.5443,44.4466
12/9/2025,44.1791,118658,44.1791,44.1791,44.1791
12/10/2025,44.28,0,44.28,44.28,44.28
12/11/2025,44.4864,35297,44.5408,44.5408,44.4864
12/12/2025,44.1492,30632,44.0095,44.1492,43.78
12/15/2025,44.44,372600,44.48,44.48,44.44
12/16/2025,44.75,95600,45,45,44.7
12/17/2025,44.98,30400,44.98,44.98,44.98
12/18/2025,45.34,34200,45.13,45.34,45.13
12/19/2025,45.01,134300,45.34,45.34,45.01
12/22/2025,45.01,4,45.01,45.01,45.01
12/23/2025,45.04,135800,45.04,45.04,45.04
12/24/2025,44.93,6200,45.28,45.28,44.93
12/26/2025,44.93,0,44.93,44.93,44.93
12/29/2025,45.31,3100,45.28,45.31,45.27
12/30/2025,45.24,4900,45.24,45.24,45.24
12/31/2025,45.22,2700,45.22,45.22,45.22
1/2/2026,45.22,0,45.22,45.22,45.22
1/5/2026,44.75,21300,44.75,44.75,44.75
