Date,Close/Last,Volume,Open,High,Low
02/27/2026,$13.84,15573450,$13.89,$13.96,$13.74
02/26/2026,$14.10,16320740,$13.49,$14.14,$13.48
02/25/2026,$13.40,16062250,$13.53,$13.5799,$13.16
02/24/2026,$13.53,14060630,$13.20,$13.68,$13.14
02/23/2026,$13.29,16771410,$13.70,$13.75,$13.165
02/20/2026,$13.95,15742490,$13.70,$14.02,$13.59
02/19/2026,$13.90,15201590,$13.80,$14.015,$13.60
02/18/2026,$13.71,17521130,$13.40,$13.867,$13.29
02/17/2026,$13.30,16806860,$13.235,$13.44,$13.07
02/13/2026,$13.27,22891040,$13.21,$13.46,$13.05
02/12/2026,$13.05,30626940,$13.985,$14.10,$12.93
02/11/2026,$13.99,74349910,$14.215,$15.10,$13.88
02/10/2026,$16.85,35201800,$16.60,$17.105,$16.50
02/09/2026,$16.61,17775790,$16.43,$16.90,$16.41
02/06/2026,$16.46,17421970,$15.84,$16.56,$15.815
02/05/2026,$15.84,16717190,$16.00,$16.33,$15.68
02/04/2026,$16.16,19212440,$16.70,$16.73,$15.89
02/03/2026,$16.76,17934240,$17.365,$17.365,$16.44
02/02/2026,$17.26,12651370,$16.85,$17.47,$16.605
01/30/2026,$16.87,14521900,$17.67,$17.69,$16.72
01/29/2026,$17.75,16306720,$17.20,$18.0699,$17.14
01/28/2026,$17.20,12358860,$17.725,$17.75,$17.16
01/27/2026,$17.54,9538773,$18.12,$18.1228,$17.51
01/26/2026,$17.98,12654820,$18.01,$18.29,$17.88
01/23/2026,$17.90,13744040,$18.16,$18.435,$17.51
01/22/2026,$18.20,18242290,$18.62,$18.99,$17.81
01/21/2026,$18.49,11617460,$18.40,$18.65,$18.105
01/20/2026,$18.20,10362270,$18.085,$18.37,$17.795
01/16/2026,$18.33,15530320,$18.82,$18.99,$18.32
01/15/2026,$18.88,13386650,$19.05,$19.375,$18.69
01/14/2026,$18.92,10352860,$19.19,$19.19,$18.69
01/13/2026,$19.25,12571190,$19.67,$19.69,$18.96
01/12/2026,$19.69,11422330,$19.16,$19.83,$18.99
01/09/2026,$19.21,9914760,$19.48,$19.58,$18.97
01/08/2026,$19.44,9234533,$19.64,$19.64,$19.07
01/07/2026,$19.64,7940596,$20.06,$20.15,$19.61
01/06/2026,$19.86,12493260,$19.16,$20.005,$19.04
01/05/2026,$19.15,11765520,$19.87,$19.96,$19.01
01/02/2026,$19.79,7675520,$19.71,$19.88,$19.395
12/31/2025,$19.37,6019316,$19.275,$19.43,$19.185
12/30/2025,$19.31,7255932,$19.15,$19.43,$19.075
12/29/2025,$19.15,9727570,$19.33,$19.45,$19.115
12/26/2025,$19.67,5288345,$19.56,$19.78,$19.25
12/24/2025,$19.61,4677065,$19.52,$19.66,$19.132
12/23/2025,$19.60,5978616,$19.825,$19.99,$19.50
12/22/2025,$19.95,14227700,$19.82,$20.515,$19.6803
12/19/2025,$19.42,17045780,$19.22,$19.53,$18.75
12/18/2025,$19.86,13360870,$19.59,$20.11,$19.55
12/17/2025,$19.18,10553950,$19.22,$19.68,$19.095
12/16/2025,$19.19,9800417,$19.12,$19.46,$18.90
12/15/2025,$19.12,20499050,$20.19,$20.21,$18.61
12/12/2025,$20.37,9442940,$20.53,$20.75,$20.21
12/11/2025,$20.52,14279150,$20.13,$20.62,$19.88
12/10/2025,$20.32,23333810,$21.53,$21.735,$19.78
12/09/2025,$21.78,9772293,$22.15,$22.49,$21.75
12/08/2025,$22.49,12344140,$22.97,$23.245,$22.47
12/05/2025,$22.97,11901330,$22.50,$23.33,$22.4402
12/04/2025,$22.52,9324188,$22.395,$22.605,$21.91
12/03/2025,$22.33,10299600,$22.53,$22.88,$22.21
12/02/2025,$22.24,13114380,$21.60,$22.61,$21.55
12/01/2025,$21.44,14530960,$20.805,$21.825,$20.68
11/28/2025,$21.03,6814997,$20.25,$21.16,$20.15
11/26/2025,$20.16,13905480,$19.78,$20.74,$19.72
11/25/2025,$19.63,10894610,$19.78,$19.78,$19.31
11/24/2025,$19.88,12744810,$20.10,$20.60,$19.83
11/21/2025,$19.78,19166530,$19.71,$20.01,$18.85
11/20/2025,$19.76,20912290,$21.52,$21.81,$19.67
11/19/2025,$21.21,11118450,$21.65,$21.98,$20.915
11/18/2025,$21.70,16044760,$21.335,$21.95,$21.25
11/17/2025,$21.58,18131760,$22.93,$23.00,$21.41
11/14/2025,$23.14,14897750,$23.05,$23.73,$22.67
11/13/2025,$23.80,20337280,$24.48,$24.59,$23.335
11/12/2025,$24.57,26933790,$24.455,$25.54,$24.30
11/11/2025,$24.18,29022500,$23.725,$24.21,$23.06
11/10/2025,$23.72,44578750,$22.41,$23.87,$22.18
11/07/2025,$22.04,21615870,$21.055,$22.10,$20.52
11/06/2025,$21.25,50665300,$21.055,$22.19,$19.95
11/05/2025,$20.08,23736710,$19.475,$20.425,$19.475
11/04/2025,$19.42,17043210,$19.98,$20.225,$19.385
11/03/2025,$20.95,16099490,$20.55,$21.065,$20.482
10/31/2025,$20.46,18037660,$19.92,$20.635,$19.90
10/30/2025,$19.75,16461100,$19.76,$20.22,$19.58
10/29/2025,$20.02,13969140,$20.04,$20.38,$19.77
10/28/2025,$20.03,11391010,$20.79,$20.82,$20.01
10/27/2025,$20.63,14721270,$20.53,$20.78,$20.20
10/24/2025,$20.47,10913890,$20.87,$20.966,$20.375
10/23/2025,$20.57,8253565,$20.25,$20.68,$20.24
10/22/2025,$20.26,13310400,$20.55,$20.60,$19.84
10/21/2025,$20.64,11851890,$20.10,$20.815,$20.00
10/20/2025,$20.21,10429040,$19.63,$20.44,$19.63
10/17/2025,$19.53,10286970,$19.62,$19.76,$19.35
10/16/2025,$19.87,12732850,$20.18,$20.325,$19.62
10/15/2025,$20.00,11130960,$20.41,$20.7291,$19.81
10/14/2025,$20.13,13907700,$19.555,$20.59,$19.48
10/13/2025,$19.99,12582910,$19.605,$20.03,$19.19
10/10/2025,$19.25,18778790,$19.665,$19.93,$18.855
10/09/2025,$19.72,26771590,$21.41,$21.48,$19.645
10/08/2025,$21.16,13936080,$21.18,$21.4369,$20.7838
10/07/2025,$21.18,16041460,$21.74,$22.12,$20.62
10/06/2025,$21.74,17447940,$22.00,$22.48,$21.66
10/03/2025,$21.99,18927760,$22.575,$22.65,$21.83
10/02/2025,$22.61,20501160,$21.98,$22.705,$21.63
10/01/2025,$21.82,11890400,$21.98,$22.20,$21.74
09/30/2025,$22.01,20016700,$23.00,$23.28,$21.55
09/29/2025,$22.93,24726790,$21.91,$22.97,$21.69
09/26/2025,$21.87,15158970,$21.42,$21.93,$21.23
09/25/2025,$21.57,13351500,$21.89,$22.03,$21.30
09/24/2025,$22.06,15144550,$22.59,$22.87,$21.845
09/23/2025,$22.08,21852410,$22.64,$23.11,$22.05
09/22/2025,$22.63,20632510,$22.52,$23.04,$22.31
09/19/2025,$22.58,28632140,$22.36,$22.69,$21.935
09/18/2025,$21.96,26073910,$22.925,$22.97,$21.80
09/17/2025,$22.84,101377100,$23.38,$23.50,$21.91
09/16/2025,$20.19,25554890,$20.055,$20.255,$19.60
09/15/2025,$20.44,25442610,$18.83,$20.50,$18.7701
09/12/2025,$18.62,29849280,$18.375,$18.83,$18.30
09/11/2025,$18.32,16135850,$19.04,$19.16,$18.31
09/10/2025,$18.96,27144090,$18.50,$19.35,$18.465
09/09/2025,$18.39,23081630,$17.77,$18.41,$17.63
09/08/2025,$17.71,21669550,$16.96,$17.76,$16.924
09/05/2025,$16.66,15634670,$16.96,$17.45,$16.49
09/04/2025,$16.79,17972620,$16.90,$16.95,$16.29
09/03/2025,$16.92,50754720,$16.865,$18.30,$16.8401
09/02/2025,$16.80,23024930,$15.565,$16.89,$15.565
08/29/2025,$16.22,17113370,$16.14,$16.2899,$15.72
08/28/2025,$16.135,10709530,$16.36,$16.50,$15.98
