Date,Close/Last,Volume,Open,High,Low
02/27/2026,$341.06,4269118,$335.57,$341.35,$335.57
02/26/2026,$334.53,2425874,$334.87,$336.94,$333.11
02/25/2026,$333.01,2812679,$332.00,$334.15,$330.00
02/24/2026,$333.05,2757121,$335.31,$336.00,$332.33
02/23/2026,$334.56,3806207,$330.43,$335.58,$330.25
02/20/2026,$329.23,3862815,$328.03,$330.28,$325.957
02/19/2026,$327.11,4032263,$328.46,$333.00,$326.95
02/18/2026,$327.89,3661833,$327.27,$328.80,$323.83
02/17/2026,$327.62,3367458,$330.00,$332.08,$325.00
02/13/2026,$327.58,3587877,$332.50,$335.67,$326.53
02/12/2026,$332.08,6499731,$329.83,$333.38,$320.15
02/11/2026,$323.21,4553181,$323.58,$325.20,$320.81
02/10/2026,$325.97,3502928,$325.43,$328.00,$323.505
02/09/2026,$325.60,2674131,$325.94,$327.32,$323.18
02/06/2026,$327.16,2831866,$322.90,$327.54,$321.24
02/05/2026,$323.48,3936775,$325.08,$328.06,$322.95
02/04/2026,$323.69,4805925,$321.11,$326.945,$319.7001
02/03/2026,$319.48,4043582,$315.51,$322.89,$315.51
02/02/2026,$318.53,3309834,$319.00,$319.52,$315.21
01/30/2026,$315.00,2983277,$315.66,$316.05,$311.5682
01/29/2026,$315.51,3211259,$312.905,$317.40,$312.26
01/28/2026,$312.80,2184937,$315.00,$316.2799,$311.61
01/27/2026,$314.13,2506830,$312.32,$314.56,$311.04
01/26/2026,$312.95,3385352,$310.00,$314.36,$309.97
01/23/2026,$309.25,2350447,$306.10,$309.51,$305.36
01/22/2026,$306.03,2809356,$306.15,$307.63,$304.95
01/21/2026,$305.69,3630850,$303.34,$305.71,$303.14
01/20/2026,$302.84,3017998,$306.44,$306.55,$302.45
01/16/2026,$307.43,2590593,$306.89,$308.525,$305.84
01/15/2026,$308.62,3189620,$308.93,$308.93,$303.80
01/14/2026,$308.13,2949126,$309.44,$311.18,$305.93
01/13/2026,$309.44,2967887,$305.23,$309.66,$305.20
01/12/2026,$306.75,3206608,$307.44,$307.48,$304.17
01/09/2026,$307.32,2971973,$309.04,$309.52,$304.60
01/08/2026,$308.88,3268280,$303.44,$309.00,$302.63
01/07/2026,$304.16,4100536,$305.325,$307.00,$303.31
01/06/2026,$302.77,3769102,$299.07,$304.22,$298.33
