Date,Close/Last,Volume,Open,High,Low
02/27/2026,$71.71,3580709,$70.08,$72.10,$69.96
02/26/2026,$69.89,2794922,$68.39,$70.45,$67.69
02/25/2026,$67.62,2970469,$68.61,$68.74,$67.28
02/24/2026,$68.81,2341070,$67.65,$68.88,$67.38
02/23/2026,$67.53,2829398,$68.76,$69.45,$67.17
02/20/2026,$68.82,1454326,$68.65,$68.98,$68.11
02/19/2026,$68.58,2728344,$68.78,$69.34,$68.35
02/18/2026,$68.86,1831478,$68.40,$69.045,$67.92
02/17/2026,$68.13,2970562,$66.50,$68.27,$65.99
02/13/2026,$66.14,4110771,$66.35,$66.90,$65.425
02/12/2026,$66.35,9193227,$68.29,$69.47,$65.895
02/11/2026,$70.70,4393905,$70.13,$71.105,$70.0913
02/10/2026,$70.25,2107617,$71.13,$71.25,$70.25
02/09/2026,$70.97,2568109,$70.80,$71.41,$70.70
02/06/2026,$70.90,1921152,$70.53,$71.48,$68.69
02/05/2026,$70.34,2841116,$69.73,$70.94,$69.73
02/04/2026,$69.29,4117985,$67.21,$69.76,$66.90
02/03/2026,$66.75,2188632,$66.86,$67.865,$66.71
02/02/2026,$66.98,2585509,$66.93,$67.33,$66.36
01/30/2026,$66.99,2151055,$67.08,$67.375,$66.355
01/29/2026,$67.47,3677152,$67.47,$68.00,$67.11
01/28/2026,$67.44,3261679,$67.94,$69.105,$67.215
01/27/2026,$67.50,2310081,$66.90,$68.32,$66.90
01/26/2026,$67.14,2329995,$67.67,$68.52,$66.98
01/23/2026,$68.40,1865996,$68.64,$68.89,$68.05
01/22/2026,$68.55,2307797,$68.32,$69.32,$68.11
01/21/2026,$68.02,2475364,$69.51,$69.91,$67.87
01/20/2026,$68.28,2124511,$67.82,$68.50,$67.45
01/16/2026,$68.33,2198934,$69.00,$69.34,$68.10
01/15/2026,$69.53,2110252,$69.98,$69.99,$69.07
01/14/2026,$69.88,2381956,$69.38,$70.10,$69.36
01/13/2026,$69.26,3022723,$69.56,$70.425,$68.98
01/12/2026,$69.52,1793066,$68.70,$69.715,$68.45
01/09/2026,$69.00,3004851,$68.92,$69.34,$67.62
01/08/2026,$68.66,3698063,$67.02,$68.68,$67.02
