Date,Close/Last,Volume,Open,High,Low
8/28/2025,35.0007,576482,34.9223,35.236,34.9223
8/29/2025,35.1281,586481,34.9516,35.1967,34.785
9/2/2025,34.8536,940704,34.9811,35.0791,34.6085
9/3/2025,34.9908,1024233,34.883,35.1379,34.5888
9/4/2025,34.8928,1065510,35.0987,35.334,34.8928
9/5/2025,35.1869,1201786,35.0202,35.4614,34.9222
9/8/2025,35.3771,1150746,34.9908,35.4365,34.8126
9/9/2025,35.1691,824607,35.387,35.387,34.6541
9/10/2025,35.0899,830748,35.2583,35.2781,34.9413
9/11/2025,35.6346,645048,35.0899,35.6346,34.9116
9/12/2025,35.4464,732599,35.4167,35.6049,35.2978
9/15/2025,35.4167,751119,35.387,35.5455,35.0304
9/16/2025,35.4563,661191,35.4563,35.5553,35.2186
9/17/2025,35.4068,1253252,35.5653,35.8129,35.3672
9/18/2025,34.8225,993273,35.1889,35.3771,34.664
9/19/2025,35.0404,912853,35.0008,35.1493,34.5749
9/22/2025,34.7135,626428,35.0304,35.1988,34.6541
9/23/2025,34.9809,993172,34.9215,35.1493,34.664
9/24/2025,34.3075,964552,34.9612,34.9612,34.3075
9/25/2025,34.7432,871353,34.3668,34.8026,34.2084
9/26/2025,35.3177,658815,34.8819,35.3672,34.7532
9/29/2025,35.2681,622664,35.3572,35.4761,35.1988
9/30/2025,34.1391,1326047,35.2087,35.3078,33.5647
10/1/2025,34.5055,948901,34.1391,34.5451,34.1093
10/2/2025,34.8126,794104,34.3768,34.8621,34.2877
10/3/2025,34.4164,808761,35.0106,35.0106,34.3966
10/6/2025,34.6343,1088153,34.456,34.7631,34.0004
10/7/2025,35.4761,1586223,34.5451,35.5157,34.5154
10/8/2025,35.1988,1683085,35.3672,35.595,34.9215
10/9/2025,35.8525,1428455,35.2087,35.9119,35.1691
10/10/2025,36.4368,1754196,36.0208,36.9023,36.0109
10/13/2025,36.417,673769,36.3477,36.8627,36.2882
10/14/2025,36.417,893539,36.3675,36.4962,35.7039
10/15/2025,36.5061,1073592,36.3476,36.8131,36.2288
10/16/2025,36.833,1808273,36.6844,36.9717,36.5359
10/17/2025,36.8924,1274942,36.9419,37.1895,36.6646
10/20/2025,36.2486,1184814,36.8527,36.8527,36.0703
10/21/2025,36.6052,1647531,36.1496,36.7538,36.1496
10/22/2025,36.9914,1283161,36.3873,37.1598,36.3774
10/23/2025,38.2492,2226317,37.4074,38.368,36.615
10/24/2025,38.9623,2436184,38.3185,38.992,38.1502
10/27/2025,39.3585,1144803,38.9326,39.3783,38.8138
10/28/2025,39.6061,826192,39.5863,39.8735,39.2595
10/29/2025,39.3981,1635744,39.7447,39.7447,39.1703
10/30/2025,39.0416,967225,39.2793,39.2892,38.7049
10/31/2025,38.7643,661192,38.8732,39.0218,38.7049
11/3/2025,38.1106,1151538,38.487,38.6157,37.7045
11/4/2025,37.6946,996936,37.7936,38.2492,37.6055
11/5/2025,36.8825,1182934,37.6847,37.8531,36.6745
11/6/2025,36.4566,943851,36.8825,37.1598,36.2486
11/7/2025,37.0707,859569,36.6349,37.1202,36.2685
11/10/2025,37.3678,701897,37.0608,37.5461,36.8726
11/11/2025,37.7937,511641,37.3876,37.8828,37.3876
