Date,Close/Last,Volume,Open,High,Low
02/27/2026,$514.94,3986082,$490.89,$515.98,$490.89
02/26/2026,$495.65,3462823,$469.00,$498.99,$464.05
02/25/2026,$463.28,2399688,$460.32,$470.05,$453.68
02/24/2026,$465.66,2741643,$462.50,$481.83,$454.00
02/23/2026,$467.83,2051590,$483.78,$487.32,$466.20
02/20/2026,$490.60,2124258,$485.33,$497.52,$481.67
02/19/2026,$485.29,2499294,$481.21,$492.65,$481.09
02/18/2026,$477.58,3906506,$469.33,$487.23,$460.00
02/17/2026,$462.82,3247630,$461.95,$472.90,$455.3356
02/13/2026,$458.34,3681914,$448.51,$462.00,$443.29
02/12/2026,$445.79,6899721,$479.18,$481.46,$438.00
02/11/2026,$487.17,5389219,$489.735,$504.83,$480.2863
02/10/2026,$476.02,10859500,$462.78,$495.94,$462.78
02/09/2026,$414.84,4726404,$430.82,$431.9883,$410.2101
02/06/2026,$422.61,5534276,$423.83,$426.62,$408.11
02/05/2026,$412.75,6747412,$436.88,$440.00,$405.00
02/04/2026,$440.53,6821945,$465.00,$466.335,$438.71
02/03/2026,$473.99,4589984,$504.75,$507.4499,$464.24
02/02/2026,$508.58,2018713,$497.02,$512.28,$495.53
01/30/2026,$500.35,1730165,$509.68,$515.12,$498.12
01/29/2026,$503.92,1997226,$502.68,$505.97,$493.31
01/28/2026,$508.70,1788238,$512.34,$519.015,$507.126
01/27/2026,$511.70,1680591,$512.49,$518.48,$510.1101
01/26/2026,$512.60,1973847,$516.02,$520.00,$511.70
01/23/2026,$513.21,2900752,$510.63,$516.98,$505.90
01/22/2026,$498.64,2546456,$505.50,$506.2571,$491.30
01/21/2026,$502.19,3528197,$509.00,$512.31,$495.82
01/20/2026,$511.33,2773733,$504.26,$514.98,$503.54
01/16/2026,$504.50,3711943,$508.00,$511.13,$500.82
01/15/2026,$508.04,5377893,$542.35,$548.55,$505.43
01/14/2026,$528.92,2354195,$537.00,$540.00,$516.00
01/13/2026,$534.64,3131136,$536.71,$540.00,$527.17
01/12/2026,$530.00,2144333,$539.46,$541.00,$529.60
01/09/2026,$539.37,3600749,$553.58,$554.345,$536.13
01/08/2026,$553.68,2781694,$567.50,$567.50,$544.07
01/07/2026,$569.62,1292217,$570.00,$580.20,$566.00
01/06/2026,$571.43,1989761,$595.38,$596.16,$570.76
01/05/2026,$593.39,2703545,$582.25,$609.20,$579.87
01/02/2026,$575.00,1515175,$585.88,$585.88,$570.795
12/31/2025,$580.71,720202,$574.69,$582.79,$573.55
12/30/2025,$576.68,781033,$577.35,$584.98,$575.77
12/29/2025,$581.19,1322375,$583.88,$586.53,$577.30
12/26/2025,$584.35,565251,$585.07,$588.52,$580.02
12/24/2025,$586.57,665166,$576.59,$587.91,$576.31
12/23/2025,$579.39,670215,$580.55,$581.81,$578.00
12/22/2025,$578.80,1285106,$580.00,$585.00,$576.59
12/19/2025,$582.16,1966497,$571.19,$587.93,$568.00
12/18/2025,$563.82,1368556,$569.75,$576.70,$562.72
12/17/2025,$566.23,1935945,$580.00,$588.00,$562.28
12/16/2025,$579.07,1593658,$575.00,$582.50,$563.3006
12/15/2025,$577.15,1775213,$595.75,$596.99,$573.0801
12/12/2025,$597.80,1570412,$598.90,$606.49,$597.05
12/11/2025,$598.87,1754495,$606.80,$619.959,$598.08
12/10/2025,$609.41,2953683,$590.00,$609.59,$584.99
12/09/2025,$589.67,3067469,$577.00,$596.205,$574.00
12/08/2025,$572.35,2698843,$566.00,$572.57,$548.73
12/05/2025,$564.93,1883514,$562.99,$576.79,$559.78
12/04/2025,$560.97,2293998,$557.22,$561.08,$550.12
12/03/2025,$557.17,2883775,$572.91,$575.00,$554.24
12/02/2025,$576.79,1855597,$580.185,$582.00,$573.4301
12/01/2025,$578.89,2278863,$594.16,$595.425,$576.7665
11/28/2025,$598.87,810570,$596.62,$603.19,$591.17
11/26/2025,$592.69,1916806,$590.00,$601.02,$587.96
11/25/2025,$585.47,2683443,$596.68,$602.37,$577.779
11/24/2025,$584.98,4137584,$582.61,$586.17,$567.53
11/21/2025,$583.61,2035442,$585.00,$592.81,$581.4484
11/20/2025,$589.23,2498922,$619.65,$622.75,$587.07
11/19/2025,$618.53,958931,$636.00,$639.11,$617.02
11/18/2025,$636.45,982816,$634.23,$641.66,$625.6301
11/17/2025,$640.62,1343065,$633.26,$644.57,$629.00
11/14/2025,$635.75,1440764,$637.79,$654.68,$633.1101
11/13/2025,$645.33,2067328,$651.01,$668.495,$637.50
11/12/2025,$647.87,1327859,$641.11,$654.60,$631.10
11/11/2025,$639.58,1217577,$620.56,$641.62,$620.48
11/10/2025,$622.93,1658716,$620.00,$626.655,$614.79
11/07/2025,$616.91,1845524,$610.46,$620.65,$606.206
11/06/2025,$618.20,1839856,$620.00,$629.80,$611.68
11/05/2025,$620.00,2131380,$626.00,$650.74,$617.00
11/04/2025,$629.60,4318433,$625.18,$650.5813,$603.15
11/03/2025,$644.09,3972503,$653.15,$661.69,$640.56
10/31/2025,$655.32,1609875,$661.88,$668.17,$654.84
10/30/2025,$656.68,1165688,$661.99,$670.42,$651.56
10/29/2025,$665.67,1590806,$651.43,$673.16,$650.94
10/28/2025,$653.43,1600592,$660.93,$669.70,$653.18
10/27/2025,$657.80,2317360,$648.44,$661.5401,$640.40
10/24/2025,$645.78,2131497,$676.20,$676.67,$644.83
10/23/2025,$673.86,1294668,$680.00,$683.96,$668.01
10/22/2025,$675.62,1683059,$680.00,$686.68,$656.51
10/21/2025,$689.21,1540888,$685.00,$696.9499,$682.47
10/20/2025,$675.53,1077499,$670.13,$682.25,$667.50
10/17/2025,$671.52,1200868,$660.00,$675.35,$656.25
10/16/2025,$664.46,1293506,$671.80,$679.04,$661.00
10/15/2025,$671.30,1103694,$689.84,$689.84,$670.81
10/14/2025,$683.51,1214893,$684.76,$700.12,$674.939
10/13/2025,$692.04,1038990,$680.08,$694.97,$675.265
10/10/2025,$685.29,1377250,$673.72,$689.5499,$670.00
10/09/2025,$673.66,1164659,$673.70,$675.04,$666.0001
10/08/2025,$674.75,1431566,$689.38,$696.50,$673.50
10/07/2025,$680.44,1255718,$679.98,$683.00,$670.50
10/06/2025,$680.28,1289524,$684.27,$698.85,$675.45
10/03/2025,$680.50,1731800,$706.44,$708.55,$680.24
10/02/2025,$707.30,1347175,$700.00,$716.86,$698.49
10/01/2025,$700.68,2172340,$699.50,$721.67,$697.78
09/30/2025,$698.00,4130566,$705.26,$711.00,$677.99
09/29/2025,$728.47,965761,$726.91,$740.00,$720.275
09/26/2025,$716.53,1198582,$712.62,$716.53,$704.44
09/25/2025,$712.62,1238285,$698.76,$719.75,$695.97
09/24/2025,$708.65,1405694,$715.35,$719.74,$699.32
09/23/2025,$718.94,991755,$736.14,$740.00,$716.85
09/22/2025,$738.53,989179,$730.25,$740.2012,$726.7201
09/19/2025,$734.92,1546037,$730.92,$738.87,$728.165
09/18/2025,$734.12,2515064,$715.00,$745.00,$711.34
09/17/2025,$707.19,1156150,$706.23,$710.195,$688.96
09/16/2025,$704.06,1573668,$715.00,$715.00,$693.70
09/15/2025,$703.10,1221276,$698.87,$712.00,$696.40
09/12/2025,$696.40,1170558,$691.87,$697.80,$686.00
09/11/2025,$690.31,2153728,$701.13,$703.50,$677.07
09/10/2025,$704.09,1181022,$720.78,$725.00,$700.00
09/09/2025,$719.16,945638,$715.57,$726.9999,$710.49
09/08/2025,$718.28,1183444,$710.90,$720.55,$706.31
09/05/2025,$707.19,1211479,$711.00,$716.50,$690.32
09/04/2025,$703.85,1336944,$694.20,$707.65,$694.15
09/03/2025,$697.33,1133942,$693.69,$711.175,$689.1009
09/02/2025,$689.62,1044706,$669.81,$691.70,$663.06
