Date,Close/Last,Volume,Open,High,Low
02/27/2026,$98.02,7286909,$96.40,$98.425,$96.11
02/26/2026,$98.08,6246149,$98.37,$99.80,$97.835
02/25/2026,$97.93,6294091,$97.268,$98.20,$95.90
02/24/2026,$96.51,6537568,$94.82,$96.74,$94.01
02/23/2026,$94.78,7696741,$96.14,$97.175,$93.545
02/20/2026,$97.49,8788324,$95.21,$97.78,$94.90
02/19/2026,$95.80,5676669,$95.38,$95.94,$94.76
02/18/2026,$95.76,6068093,$95.04,$96.66,$94.26
02/17/2026,$95.39,8660011,$94.90,$95.51,$93.62
02/13/2026,$93.79,8948975,$95.86,$96.915,$93.595
02/12/2026,$96.76,9537312,$100.00,$101.20,$96.44
02/11/2026,$99.12,6949061,$97.74,$99.32,$97.325
02/10/2026,$97.53,8543452,$98.98,$99.67,$97.45
02/09/2026,$98.98,7150627,$99.025,$99.98,$98.2574
02/06/2026,$99.45,8067081,$96.30,$99.58,$96.00
02/05/2026,$96.07,6776686,$96.86,$97.45,$95.36
02/04/2026,$96.97,9077080,$93.72,$97.11,$93.52
02/03/2026,$93.04,8361300,$91.62,$94.40,$91.29
02/02/2026,$91.69,8675102,$91.85,$92.61,$90.62
01/30/2026,$91.95,10747970,$92.72,$93.21,$91.00
01/29/2026,$93.88,16602870,$96.76,$96.90,$92.61
01/28/2026,$95.16,25961580,$102.30,$104.82,$95.10
01/27/2026,$95.72,16403590,$95.77,$96.645,$95.235
01/26/2026,$96.33,14106670,$97.21,$97.97,$95.79
01/23/2026,$97.62,11759840,$97.095,$97.89,$95.76
01/22/2026,$95.83,14150760,$96.47,$97.80,$94.86
01/21/2026,$96.43,17118140,$93.815,$96.52,$93.7308
01/20/2026,$93.66,13555210,$91.76,$93.81,$90.78
01/16/2026,$92.99,8958234,$93.36,$93.67,$92.22
01/15/2026,$93.28,10001670,$92.071,$94.17,$91.64
01/14/2026,$91.15,8373230,$90.26,$91.52,$90.15
01/13/2026,$90.56,5561860,$89.69,$90.60,$89.4706
01/12/2026,$89.96,7289488,$88.40,$90.23,$87.60
01/09/2026,$88.88,7593162,$88.35,$89.10,$86.79
01/08/2026,$88.18,8140135,$85.86,$89.29,$85.61
01/07/2026,$86.69,9546961,$89.02,$89.38,$86.47
