Date,Close/Last,Volume,Open,High,Low
02/27/2026,$75.42,20427880,$73.90,$75.78,$73.658
02/26/2026,$74.80,22449250,$73.15,$76.10,$72.83
02/25/2026,$72.83,19820780,$72.32,$73.16,$71.92
02/24/2026,$71.38,19581110,$70.62,$72.14,$69.95
02/23/2026,$70.72,22921580,$72.99,$73.11,$70.15
02/20/2026,$73.86,20242200,$72.65,$74.585,$72.56
02/19/2026,$72.94,15897790,$71.87,$74.105,$71.76
02/18/2026,$72.77,18235570,$70.26,$73.27,$70.115
02/17/2026,$70.53,20286070,$70.66,$70.98,$69.70
02/13/2026,$69.99,26526710,$71.06,$71.42,$69.02
02/12/2026,$71.22,33541450,$72.19,$72.63,$69.45
02/11/2026,$71.01,28045030,$73.76,$74.0857,$70.65
02/10/2026,$73.50,18958730,$74.38,$75.05,$73.47
02/09/2026,$73.91,17959070,$74.76,$74.815,$73.51
02/06/2026,$74.77,24470210,$75.49,$75.86,$72.67
02/05/2026,$75.21,33111500,$73.26,$77.22,$73.22
02/04/2026,$73.92,63044980,$75.625,$77.7133,$71.8801
02/03/2026,$77.93,29490820,$80.48,$80.68,$77.30
02/02/2026,$80.84,18434510,$79.80,$81.89,$79.19
01/30/2026,$80.05,24344090,$80.91,$82.10,$79.42
01/29/2026,$81.70,26857840,$80.44,$82.08,$79.96
01/28/2026,$79.78,19317310,$81.16,$81.8468,$79.735
01/27/2026,$81.24,19993670,$81.95,$82.085,$79.86
01/26/2026,$81.98,16556380,$82.35,$83.33,$81.91
01/23/2026,$82.31,14703760,$82.65,$83.56,$81.47
01/22/2026,$82.56,19457160,$83.50,$85.43,$81.51
01/21/2026,$84.26,21171950,$84.39,$85.61,$82.95
01/20/2026,$83.72,19429350,$83.06,$83.81,$82.35
01/16/2026,$84.85,20738890,$84.15,$85.00,$83.00
01/15/2026,$84.38,18892870,$85.81,$86.35,$82.73
01/14/2026,$84.65,15510810,$85.37,$85.99,$83.50
01/13/2026,$85.41,14809290,$84.21,$85.94,$83.70
01/12/2026,$84.67,12687760,$84.64,$85.48,$83.77
01/09/2026,$85.44,15881530,$87.27,$87.28,$84.8838
01/08/2026,$87.59,15499200,$85.76,$88.24,$85.35
01/07/2026,$86.19,25293450,$86.24,$87.74,$85.655
01/06/2026,$85.54,27508700,$81.18,$85.65,$81.09
01/05/2026,$80.74,24036820,$81.61,$82.84,$79.575
01/02/2026,$82.86,13095080,$82.04,$83.66,$81.4697
12/31/2025,$81.71,8428449,$82.00,$82.545,$81.42
12/30/2025,$82.12,9500693,$81.74,$82.50,$81.53
12/29/2025,$81.50,12072640,$80.91,$82.1999,$80.785
12/26/2025,$81.26,6741595,$81.20,$81.50,$80.6801
12/24/2025,$81.15,4310663,$81.01,$81.41,$80.58
12/23/2025,$80.97,10445520,$81.01,$81.42,$80.35
12/22/2025,$81.26,20570440,$81.32,$82.25,$80.90
12/19/2025,$79.31,34353350,$79.77,$79.99,$78.31
12/18/2025,$79.69,18681840,$80.36,$80.71,$79.55
12/17/2025,$79.14,28007490,$80.81,$81.30,$78.78
12/16/2025,$80.92,24465080,$81.745,$82.05,$80.26
12/15/2025,$81.86,32070890,$83.46,$83.62,$81.165
12/12/2025,$85.11,16211630,$85.50,$86.45,$84.5184
12/11/2025,$85.44,23346310,$84.055,$85.745,$83.34
12/10/2025,$84.16,51202040,$88.64,$88.75,$82.72
12/09/2025,$89.07,17117530,$91.81,$92.01,$88.905
12/08/2025,$92.57,12646870,$90.77,$92.78,$90.77
12/05/2025,$91.32,11154580,$90.72,$92.75,$90.46
12/04/2025,$90.99,13145300,$90.18,$91.00,$89.45
12/03/2025,$90.68,21335780,$89.845,$91.38,$88.952
12/02/2025,$87.57,18930360,$86.03,$88.44,$85.63
12/01/2025,$86.57,17517250,$86.99,$87.61,$85.475
11/28/2025,$87.54,9069354,$86.51,$87.62,$86.24
11/26/2025,$85.66,20448730,$84.11,$86.355,$83.65
11/25/2025,$83.69,18482250,$83.80,$84.265,$82.39
11/24/2025,$83.69,24883180,$84.15,$84.52,$83.03
11/21/2025,$83.87,33783120,$83.97,$84.00,$81.51
11/20/2025,$83.36,41734030,$90.20,$90.54,$82.94
11/19/2025,$89.53,18256220,$90.60,$91.08,$88.89
11/18/2025,$90.86,17439410,$92.10,$92.9234,$89.33
11/17/2025,$92.11,16922540,$91.31,$92.58,$90.74
11/14/2025,$91.62,12475610,$90.06,$92.62,$89.62
11/13/2025,$91.78,16367480,$93.70,$94.06,$91.35
11/12/2025,$93.57,16004630,$94.11,$95.18,$92.76
11/11/2025,$93.60,13276270,$93.65,$94.16,$92.97
